08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\CChromaEditorLibrary.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\CChromaEditorLibrary64.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\crs-client.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\crs-handler.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part I\crs-handler.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - E:\Games\The Last of Us - Part I\crs-handler.exe is not a preferred filename.
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part I\crs-handler.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\crs-prompt-logo.png
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\crs-uploader.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part I\crs-uploader.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - E:\Games\The Last of Us - Part I\crs-uploader.exe is not a preferred filename.
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part I\crs-uploader.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\crs-video.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part I\crs-video.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - E:\Games\The Last of Us - Part I\crs-video.exe is not a preferred filename.
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part I\crs-video.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\CUESDK.x64_2017.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\dxcompiler.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\EOSSDK-Win64-Shipping.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\ffx_backend_dx12_x64.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\ffx_frameinterpolation_x64.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\ffx_fsr3upscaler_x64.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\ffx_fsr3_x64.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\ffx_opticalflow_x64.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\GFSDK_Aftermath_Lib.x64.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\install-script.vdf
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\launcher.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part I\launcher.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - E:\Games\The Last of Us - Part I\launcher.exe is not a preferred filename.
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part I\launcher.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\NOTICE.txt
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\nvngx_dlss.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\oo2core_9_win64.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\pkgconfig.txt
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\prelaunch.cmd
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\PSNAccountLinking.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\pso-manifest.txt
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\remap.txt
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\sl.common.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\sl.dlss.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\sl.interposer.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\sl.nis.dll
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\steam_api64.rne
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\steam_emu.ini
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\tlou-i-l.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part I\tlou-i-l.exe
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - E:\Games\The Last of Us - Part I\tlou-i-l.exe is not a preferred filename.
08-01 17:02:02.766|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part I\tlou-i-l.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\tlou-i.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part I\tlou-i.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - E:\Games\The Last of Us - Part I\tlou-i.exe is not a preferred filename.
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part I\tlou-i.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\unins000.dat
