09-01 02:03:11.322|INFO |SGDBMetadata#SGDBMetadataProvider:SGDBMetadataProvider GameData:LittleBigPlanet (Europe, Australia) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko) (v02.00)
09-01 02:03:11.322|INFO |SGDBMetadata#SGDBMetadataProvider:GetSgdbMetadata
09-01 02:03:11.322|INFO |SGDBMetadata#SgdbServiceClient:LittleBigPlanet (Europe, Australia) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko) (v02.00)
09-01 02:03:11.322|INFO |SGDBMetadata#SgdbServiceClient:LittleBigPlanet (Europe, Australia) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko) (v02.00)
09-01 02:03:11.322|INFO |SGDBMetadata#SgdbServiceClient:https://www.steamgriddb.com/api/v2/search/autocomplete/LittleBigPlanet (Europe%2C Australia) (En%2CJa%2CFr%2CDe%2CEs%2CIt%2CNl%2CPt%2CSv%2CNo%2CDa%2CFi%2CZh%2CKo) (v02.00)
09-01 02:03:11.523|INFO |SGDBMetadata#SgdbServiceClient:{"success":true,"data":[{"id":5246704,"name":"LittleBigPlanet","verified":true,"types":[],"release_date":1224547200},{"id":5267797,"name":"LittleBigPlanet","verified":true,"types":[],"release_date":1258416000},{"id":5249323,"name":"LittleBigPlanet 3","verified":true,"types":[],"release_date":1416268800},{"id":5249655,"name":"LittleBigPlanet 2","verified":true,"types":[],"release_date":1295308800},{"id":5271733,"name":"LittleBigPlanet Karting","verified":true,"types":[],"release_date":1349481600},{"id":5273011,"name":"LittleBigPlanet PS Vita","verified":true,"types":[],"release_date":1348012800},{"id":5446339,"name":"LittleBigPlanet\u2122 HUB - Internal Beta","verified":true,"types":[],"release_date":1386633600}]}
09-01 02:03:11.523|INFO |SGDBMetadata#SgdbServiceClient:LittleBigPlanet
09-01 02:03:11.523|INFO |SGDBMetadata#SgdbServiceClient:getHeroImageUrl
09-01 02:03:11.523|INFO |SGDBMetadata#SgdbServiceClient:LittleBigPlanet
09-01 02:03:11.523|INFO |SGDBMetadata#SgdbServiceClient:
09-01 02:03:11.523|INFO |SGDBMetadata#SgdbServiceClient:fastinstall_04998772_littlebigplanet_(europe,_australia)_(en,ja,fr,de,es,it,nl,pt,sv,no,da,fi,zh,ko)_(v02.00)
09-01 02:03:11.523|INFO |SGDBMetadata#SgdbServiceClient:getSGDBGameHero
09-01 02:03:11.523|INFO |SGDBMetadata#SgdbServiceClient:https://www.steamgriddb.com/api/v2/heroes/game/5246704?nsfw=false&humor=false
09-01 02:03:11.599|ERROR|PlayniteWeb#PlayniteWeb:GraphQL client is not initialized. Cannot handle game updates.
09-01 02:03:11.599|INFO |OverlayPlugin#GameSwitcher:Setting active app from Playnite game: Catherine (Europe)
09-01 02:03:11.615|DEBUG|OverlayPlugin#GameSwitcher:Searching for processes matching game: Catherine (Europe)
09-01 02:03:11.615|DEBUG|OverlayPlugin#GameSwitcher:Game install directory: D:\Roms\Catherine (Europe)
